date,timestamp,value,classification
2020-09-14,1600041600,50.0,neutral
2020-09-15,1600128000,50.0,neutral
2020-09-16,1600214400,50.0,neutral
2020-09-17,1600300800,50.0,neutral
2020-09-18,1600387200,50.0,neutral
2020-09-21,1600646400,50.0,neutral
2020-09-22,1600732800,50.0,neutral
2020-09-23,1600819200,50.0,neutral
2020-09-24,1600905600,50.0,neutral
2020-09-25,1600992000,50.0,neutral
2020-09-28,1601251200,50.0,neutral
2020-09-29,1601337600,50.0,neutral
2020-09-30,1601424000,50.0,neutral
2020-10-01,1601510400,50.0,neutral
2020-10-02,1601596800,50.0,neutral
2020-10-05,1601856000,50.0,neutral
2020-10-06,1601942400,50.0,neutral
2020-10-07,1602028800,50.0,neutral
2020-10-08,1602115200,50.0,neutral
2020-10-09,1602201600,50.0,neutral
2020-10-12,1602460800,50.0,neutral
2020-10-13,1602547200,50.0,neutral
2020-10-14,1602633600,50.0,neutral
2020-10-15,1602720000,50.0,neutral
2020-10-16,1602806400,50.0,neutral
2020-10-19,1603065600,50.0,neutral
2020-10-20,1603152000,50.0,neutral
2020-10-21,1603238400,50.0,neutral
2020-10-22,1603324800,50.0,neutral
2020-10-23,1603411200,50.0,neutral
2020-10-26,1603670400,2.7,extreme fear
2020-10-27,1603756800,2.3,extreme fear
2020-10-28,1603843200,0.3,extreme fear
2020-10-29,1603929600,1.1,extreme fear
2020-10-30,1604016000,1.9,extreme fear
2020-11-02,1604275200,2.8,extreme fear
2020-11-03,1604361600,3.6,extreme fear
2020-11-04,1604448000,50.0,neutral
2020-11-05,1604534400,50.0,neutral
2020-11-06,1604620800,50.0,neutral
2020-11-09,1604880000,50.0,neutral
2020-11-10,1604966400,50.0,neutral
2020-11-11,1605052800,50.0,neutral
2020-11-12,1605139200,50.0,neutral
2020-11-13,1605225600,50.0,neutral
2020-11-16,1605484800,50.0,neutral
2020-11-17,1605571200,50.0,neutral
2020-11-18,1605657600,50.0,neutral
2020-11-19,1605744000,50.0,neutral
2020-11-20,1605830400,50.0,neutral
2020-11-23,1606089600,50.0,neutral
2020-11-24,1606176000,50.0,neutral
2020-11-25,1606262400,50.0,neutral
2020-11-27,1606435200,50.0,neutral
2020-11-30,1606694400,50.0,neutral
2020-12-01,1606780800,50.0,neutral
2020-12-02,1606867200,50.0,neutral
2020-12-03,1606953600,50.0,neutral
2020-12-04,1607040000,50.0,neutral
2020-12-07,1607299200,50.0,neutral
2020-12-08,1607385600,50.0,neutral
2020-12-09,1607472000,50.0,neutral
2020-12-10,1607558400,50.0,neutral
2020-12-11,1607644800,50.0,neutral
2020-12-14,1607904000,50.0,neutral
2020-12-15,1607990400,50.0,neutral
2020-12-16,1608076800,50.0,neutral
2020-12-17,1608163200,50.0,neutral
2020-12-18,1608249600,50.0,neutral
2020-12-21,1608508800,50.0,neutral
2020-12-22,1608595200,50.0,neutral
2020-12-23,1608681600,50.0,neutral
2020-12-24,1608768000,50.0,neutral
2020-12-28,1609113600,50.0,neutral
2020-12-29,1609200000,50.0,neutral
2020-12-30,1609286400,50.0,neutral
2020-12-31,1609372800,50.0,neutral
2021-01-04,1609718400,50.0,neutral
2021-01-05,1609804800,50.0,neutral
2021-01-06,1609891200,50.0,neutral
2021-01-07,1609977600,50.0,neutral
2021-01-08,1610064000,50.0,neutral
2021-01-11,1610323200,50.0,neutral
2021-01-12,1610409600,50.0,neutral
2021-01-13,1610496000,50.0,neutral
2021-01-14,1610582400,50.0,neutral
2021-01-15,1610668800,50.0,neutral
2021-01-19,1611014400,50.0,neutral
2021-01-20,1611100800,50.0,neutral
2021-01-21,1611187200,50.0,neutral
2021-01-22,1611273600,68.9,greed
2021-01-25,1611532800,69.7,greed
2021-01-26,1611619200,67.4,greed
2021-01-27,1611705600,28.2,fear
2021-01-28,1611792000,52.9,neutral
2021-01-29,1611878400,40.966667,fear
2021-02-01,1612137600,43.4,fear
2021-02-02,1612224000,60.466667,greed
2021-02-03,1612310400,59.2,greed
2021-02-04,1612396800,61.066667,greed
2021-02-05,1612483200,68.0,greed
2021-02-08,1612742400,72.866667,greed
2021-02-09,1612828800,75.4,extreme greed
2021-02-10,1612915200,75.266667,extreme greed
2021-02-11,1613001600,76.0,extreme greed
2021-02-12,1613088000,77.666667,extreme greed
2021-02-16,1613433600,73.933333,greed
2021-02-17,1613520000,70.2,greed
2021-02-18,1613606400,62.533333,greed
2021-02-19,1613692800,56.24,greed
2021-02-22,1613952000,52.48,neutral
2021-02-23,1614038400,50.56,neutral
2021-02-24,1614124800,63.8,greed
2021-02-25,1614211200,46.16,neutral
2021-02-26,1614297600,53.52,neutral
2021-03-01,1614556800,58.52,greed
2021-03-02,1614643200,50.32,neutral
2021-03-03,1614729600,43.84,fear
2021-03-04,1614816000,37.8,fear
2021-03-05,1614902400,41.52,fear
2021-03-08,1615161600,39.08,fear
2021-03-09,1615248000,43.36,fear
2021-03-10,1615334400,45.56,neutral
2021-03-11,1615420800,50.48,neutral
2021-03-12,1615507200,53.72,neutral
2021-03-15,1615766400,56.52,greed
2021-03-16,1615852800,54.8,neutral
2021-03-17,1615939200,57.866667,greed
2021-03-18,1616025600,52.333333,neutral
2021-03-19,1616112000,50.833333,neutral
2021-03-22,1616371200,50.7,neutral
2021-03-23,1616457600,41.8,fear
2021-03-24,1616544000,37.666667,fear
2021-03-25,1616630400,37.833333,fear
2021-03-26,1616716800,37.566667,fear
2021-03-29,1616976000,39.566667,fear
2021-03-30,1617062400,42.033333,fear
2021-03-31,1617148800,44.566667,fear
2021-04-01,1617235200,46.4,neutral
2021-04-05,1617580800,54.566667,neutral
2021-04-06,1617667200,53.5,neutral
2021-04-07,1617753600,52.533333,neutral
2021-04-08,1617840000,48.1,neutral
2021-04-09,1617926400,47.5,neutral
2021-04-12,1618185600,43.433333,fear
2021-04-13,1618272000,43.633333,fear
2021-04-14,1618358400,39.966667,fear
2021-04-15,1618444800,47.166667,neutral
2021-04-16,1618531200,51.3,neutral
2021-04-19,1618790400,45.266667,neutral
2021-04-20,1618876800,42.866667,fear
2021-04-21,1618963200,49.633333,neutral
2021-04-22,1619049600,46.7,neutral
2021-04-23,1619136000,47.7,neutral
2021-04-26,1619395200,50.533333,neutral
2021-04-27,1619481600,54.8,neutral
